cpu_cycle,ppu_frame,ppu_scanline,ppu_dot,m2_phase,kind,addr,value,dmc_bytes_rem,dmc_sample_addr,dmc_irq_flag,dmc_irq_en,dmc_silence
1905840,65,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
1935620,66,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
1965401,67,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
1995181,68,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
2024962,69,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
2054742,70,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
2084523,71,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
2114303,72,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
2144084,73,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
2173864,74,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
2203645,75,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
2233425,76,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
2263206,77,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
2292986,78,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
2322767,79,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
2352547,80,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
2382328,81,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
2412108,82,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
2441889,83,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
2471669,84,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
2501450,85,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
2531230,86,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
2561011,87,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
2590791,88,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
2620572,89,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
2650352,90,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
2680133,91,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
2709913,92,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
2739694,93,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
2769474,94,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
2799255,95,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
2829035,96,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
2858816,97,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
2888596,98,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
2918377,99,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
2948157,100,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
2977938,101,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
3007718,102,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
3037499,103,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
3067279,104,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
3097060,105,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
3126840,106,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
3156621,107,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
3186401,108,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
3216182,109,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
3245962,110,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
3275743,111,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
3305523,112,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
3335304,113,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
3365084,114,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
3394865,115,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
3424645,116,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
3454426,117,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
3484206,118,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
3513987,119,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
3543767,120,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
3573548,121,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
3603328,122,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
3633109,123,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
3662889,124,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
3692670,125,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
3722450,126,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
3752231,127,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
3782011,128,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
3811792,129,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
3841572,130,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
3871353,131,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
3901133,132,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
3930914,133,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
3960694,134,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
3990475,135,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
4020255,136,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
4050036,137,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
4079816,138,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
4109597,139,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
4139377,140,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
4169158,141,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
4198938,142,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
4228719,143,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
4258499,144,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
4288280,145,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
4318060,146,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
4347841,147,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
4377621,148,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
4407402,149,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
4437182,150,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
4466963,151,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
4496743,152,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
4526524,153,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
4556304,154,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
4586085,155,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
4615865,156,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
4645646,157,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
4675426,158,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
4705207,159,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
4734987,160,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
4764768,161,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
4794548,162,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
4824329,163,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
4854109,164,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
4883890,165,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
4913670,166,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
4943451,167,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
4973231,168,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
5003012,169,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
5032792,170,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
5062573,171,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
5092353,172,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
5122134,173,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
5151914,174,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
5181695,175,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
5211475,176,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
5241256,177,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
5271036,178,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
5300817,179,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
5330597,180,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
5360378,181,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
5390158,182,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
5419939,183,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
5449719,184,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
5479500,185,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
5509280,186,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
5539061,187,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
5568841,188,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
5598622,189,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
5628402,190,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
5658183,191,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
5687963,192,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
5717744,193,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
5747524,194,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
5777305,195,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
5807085,196,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
5836866,197,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
5866646,198,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
5896427,199,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
5926207,200,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
5955988,201,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
5985768,202,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
6015549,203,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
6045329,204,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
6075110,205,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
6104890,206,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
6134671,207,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
6164451,208,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
6194232,209,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
6224012,210,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
6253793,211,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
6283573,212,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
6313354,213,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
6343134,214,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
6372915,215,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
6402695,216,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
6432476,217,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
6462256,218,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
6492037,219,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
6521817,220,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
6551598,221,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
6581378,222,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
6611159,223,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
6640939,224,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
6670720,225,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
6700500,226,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
6730281,227,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
6760061,228,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
6789842,229,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
6819622,230,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
6849403,231,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
6879183,232,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
6908964,233,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
6938744,234,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
6968525,235,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
6998305,236,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
7028086,237,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
7057866,238,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
7087647,239,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
7117427,240,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
7147208,241,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
7176988,242,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
7206769,243,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
7236549,244,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
7266330,245,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
7296110,246,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
7325891,247,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
7355671,248,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
7385452,249,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
7415232,250,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
7445013,251,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
7474793,252,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
7504574,253,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
7534354,254,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
7564135,255,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
7593915,256,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
7623696,257,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
7653476,258,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
7683257,259,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
7713037,260,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
7742818,261,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
7772598,262,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
7802379,263,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
7832159,264,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
7861940,265,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
7891720,266,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
7921501,267,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
7951281,268,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
7981062,269,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
8010842,270,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
8040623,271,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
8070403,272,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
8100184,273,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
8129964,274,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
